datasetId,splitName,sourceType,trackId,engine,durationSeconds,usedLearned,fallbackReason,rootAccuracy,majorMinorAccuracy,detailedAccuracy,noChordPrecision,noChordRecall,noChordF1,fragmentationRate,predictedRegionCount,regionsPerMinute,veryShortRegionCount,oneWindowRegionCount,oneWindowRegionRate,veryShortRegionRate,flickerEventCount,meanAbsoluteBoundaryErrorMs,medianAbsoluteBoundaryErrorMs,meanSignedBoundaryErrorMs,boundariesWithin100ms,boundariesWithin250ms,boundariesWithin500ms,boundariesWithin1000ms,mlOverrideCountVsRule,percentRuleWindowsChangedByMl,ruleMlAgreementRate,averageEffectiveLearnedWeight,averageLearnedEntropy,runtimePerAudioMinuteSeconds,peakMemoryMiB
guitarset-zenodo-1492449,validation,solo-guitar,guitarset-00_BN3-154-E_comp,legacy-region-hybrid,24.93201814058957,true,,0.603177,0.603177,0.603177,0,0,0,0.6875,15,36.098187,0,0,0,0,0,347.893,244.218,-109.94,0.2,0.5333333333333333,0.8666666666666667,0.8666666666666667,,,,,,1.123274,344.56
guitarset-zenodo-1492449,validation,solo-guitar,guitarset-00_BN3-154-E_solo,rule-only,24.93201814058957,false,,0.039066,0.027565,0.027565,0,0,0,0.3125,6,14.439275,0,0,0,0,0,1518.473,1374.182,52.597,0,0.13333333333333333,0.26666666666666666,0.3333333333333333,,,,,,1.005661,318.436
guitarset-zenodo-1492449,validation,solo-guitar,guitarset-00_BN3-154-E_solo,observation-hybrid,24.93201814058957,true,,0.039066,0.027565,0.027565,0,0,0,0.3125,6,14.439275,0,0,0,0,0,1518.473,1374.182,52.597,0,0.13333333333333333,0.26666666666666666,0.3333333333333333,0,0,0.1111111111111111,0,0.4937001445614101,1.751907,336.918
guitarset-zenodo-1492449,validation,solo-guitar,guitarset-00_BN3-154-E_solo,ml-only,24.93201814058957,true,,0.123036,0.123036,0.123036,0,0,0,0.5,9,21.658912,0,0,0,0,0,855.603,641.403,83.612,0,0.13333333333333333,0.4,0.6666666666666666,,,,,,0.481825,337.118
guitarset-zenodo-1492449,validation,solo-guitar,guitarset-00_BN3-154-E_solo,legacy-region-hybrid,24.93201814058957,true,,0.039066,0.027565,0.027565,0,0,0,0.3125,6,14.439275,0,0,0,0,0,1518.473,1374.182,52.597,0,0.13333333333333333,0.26666666666666666,0.3333333333333333,,,,,,1.111614,337.118
guitarset-zenodo-1492449,validation,solo-guitar,guitarset-00_Funk1-114-Ab_comp,rule-only,25.258412698412698,false,,0.65343,0.65343,0.65343,0,0,0,0.5,6,14.252684,0,0,0,0,0,1120.736,859.152,-253.881,0.2,0.2,0.4,0.6,,,,,,1.00178,354.351
guitarset-zenodo-1492449,validation,solo-guitar,guitarset-00_Funk1-114-Ab_comp,observation-hybrid,25.258412698412698,true,,0.65343,0.65343,0.65343,0,0,0,0.333333,4,9.50179,0,0,0,0,0,2908.654,2174.889,1877.698,0.2,0.2,0.4,0.4,3,0.046875,0.34375,0.03803556302793234,0.3217667984841969,1.748232,354.351
guitarset-zenodo-1492449,validation,solo-guitar,guitarset-00_Funk1-114-Ab_comp,ml-only,25.258412698412698,true,,0.698067,0.698067,0.658473,0,0,0,0.5,6,14.252684,0,0,0,0,0,494.956,159.442,-277.572,0.2,0.6,0.8,0.8,,,,,,0.477842,354.351
guitarset-zenodo-1492449,validation,solo-guitar,guitarset-00_Funk1-114-Ab_comp,legacy-region-hybrid,25.258412698412698,true,,0.700314,0.700314,0.700314,0,0,0,0.5,6,14.252684,0,0,0,0,0,1120.736,859.152,-253.881,0.2,0.2,0.4,0.6,,,,,,1.108962,354.351
guitarset-zenodo-1492449,validation,solo-guitar,guitarset-00_Funk1-114-Ab_solo,rule-only,25.258412698412698,false,,0.291725,0.019236,0.019236,0,0,0,0.833333,7,16.628132,0,0,0,0,0,1052.64,1093.138,421.04,0,0,0.4,0.4,,,,,,0.692839,356.007
guitarset-zenodo-1492449,validation,solo-guitar,guitarset-00_Funk1-114-Ab_solo,observation-hybrid,25.258412698412698,true,,0.291725,0.019236,0.019236,0,0,0,0.833333,7,16.628132,0,0,0,0,0,1052.64,1093.138,421.04,0,0,0.4,0.4,0,0,0.030303030303030304,0,0.491224131619152,1.129155,356.007
guitarset-zenodo-1492449,validation,solo-guitar,guitarset-00_Funk1-114-Ab_solo,ml-only,25.258412698412698,true,,0.419713,0.15063,0.13858,0,0,0,0.833333,9,21.379026,0,0,0,0,0,363.078,409.465,-77.554,0.2,0.2,0.8,1,,,,,,0.480217,356.007
guitarset-zenodo-1492449,validation,solo-guitar,guitarset-00_Funk1-114-Ab_solo,legacy-region-hybrid,25.258412698412698,true,,0.291725,0.019236,0.019236,0,0,0,0.833333,7,16.628132,0,0,0,0,0,1052.64,1093.138,421.04,0,0,0.4,0.4,,,,,,0.802174,356.007
guitarset-zenodo-1492449,validation,solo-guitar,guitarset-00_Funk1-97-C_comp,rule-only,29.688390022675737,false,,0.632443,0.632443,0.632443,0,0,0,0.5,6,12.125952,0,0,0,0,0,1159.68,1015.174,-1087.906,0,0.2,0.4,0.4,,,,,,1.15362,324.971
