foldId,candidateId,capture,rootAccuracy,majorMinorAccuracy,detailedAccuracy,fragmentationRate,regionsPerMinute,predictedRegionCount,shortRegionRate,flickerCount,meanAbsoluteBoundaryErrorMs,medianAbsoluteBoundaryErrorMs,boundaryF1At100ms,boundaryF1At250ms,boundaryF1At500ms,boundaryF1At1000ms,weightedChordSymbolRecall,noChordF1,meanSignedBoundaryErrorMs,boundariesWithin100ms,boundariesWithin250ms,boundariesWithin500ms,boundariesWithin1000ms,chordSwitchPrecision,chordSwitchRecall,chordSwitchF1,boundaryStateSwitchAgreement,trainSeconds,epochsRun,checkpointChecksum
lopo-p01,v1-objective,audio_mono-mic,0.604780368597195,0.5345878666306358,0.5157939834776206,0.6249997222222222,19.857051113034213,605.0,0.0,0.0,870.8625757575759,669.2845454545454,0.19989651515151516,0.4221663636363636,0.6019178787878788,0.7602325757575757,0.5157939834776206,0.0,125.22181818181818,0.19545212121212122,0.4090865151515151,0.5742381818181819,0.7121231818181818,0.4954135779816514,0.4090865151515151,0.44813044401847096,0.8787885794263388,620.86,19,761916d95f31ace4754eff89ca1c6b8b4d13c4b444e5d50651339df91883489a
lopo-p01,v1-objective,audio_mono-pickup_mix,0.607562686084638,0.5478855229515783,0.5263702041939404,0.6041663888888889,19.233441243368674,586.0,0.0,0.0,1067.2871212121213,753.6796969696969,0.19463939393939392,0.42394303030303027,0.6174396969696969,0.7624083333333334,0.5263702041939404,0.0,18.36681818181818,0.18938363636363637,0.4075740909090909,0.5863628787878788,0.7106086363636364,0.5114062737642586,0.4075740909090909,0.4536243757259421,0.8695916494425451,620.86,19,761916d95f31ace4754eff89ca1c6b8b4d13c4b444e5d50651339df91883489a
lopo-p01,longer-context,audio_mono-mic,0.6554460672098272,0.5887079815499002,0.5794484584801642,0.6791666666666667,23.106386749712538,704.0,0.009943181818181818,7.0,625.5690909090908,452.4886363636364,0.2684092424242424,0.47992242424242426,0.6655798484848484,0.8099078787878788,0.5794484584801642,0.0,-74.71757575757576,0.2712078787878788,0.48181439393939396,0.6651490909090909,0.8030301515151516,0.49378788819875774,0.48181439393939396,0.48772766616674945,0.7943693722433853,1421.25,32,31e53adeeb03ee710735540c4a85602d6f387bdd121f7035f1fcdaabc83e6098
lopo-p01,longer-context,audio_mono-pickup_mix,0.6647522505204954,0.6065653559554195,0.5953698712190916,0.6902755555555555,23.204851465975516,707.0,0.011315417256011316,4.0,573.5212121212121,438.8189393939394,0.28228651515151515,0.5204269696969698,0.6622407575757575,0.8081421212121211,0.5953698712190916,0.0,-23.58469696969697,0.2863593939393939,0.5181824242424242,0.6621215151515152,0.8045480303030303,0.5285859350850077,0.5181824242424242,0.5233324810061823,0.797838417195264,1421.25,32,31e53adeeb03ee710735540c4a85602d6f387bdd121f7035f1fcdaabc83e6098
lopo-p01,duration-objective,audio_mono-mic,0.6558415997562451,0.5924130603599651,0.5825441410758693,0.6819472222222223,23.533067186852115,717.0,0.01394700139470014,4.0,564.3898484848485,426.86560606060607,0.30837666666666663,0.5323383333333334,0.7094590909090909,0.8120480303030302,0.5825441410758693,0.0,-38.82393939393939,0.31211575757575755,0.534849696969697,0.7136348484848485,0.8151515151515152,0.5372923896499239,0.534849696969697,0.5360682606807148,0.7845663466377043,1775.53,40,d3d6db208a35ca60abd292b3cab087fcce4c1a0b2a5760e990e3697c81b9135a
lopo-p01,duration-objective,audio_mono-pickup_mix,0.6623657696713356,0.6085403527006137,0.6008997670215408,0.6861136111111111,23.762818191465733,724.0,0.020718232044198894,4.0,527.2159090909091,384.0130303030303,0.2989260606060606,0.5238069696969697,0.6892439393939395,0.8012509090909091,0.6008997670215408,0.0,-57.38484848484848,0.3060651515151515,0.5333346969696969,0.6999995454545455,0.8090937878787878,0.5301215361445784,0.5333346969696969,0.5317232623834693,0.7834668972616999,1775.53,40,d3d6db208a35ca60abd292b3cab087fcce4c1a0b2a5760e990e3697c81b9135a
lopo-p01,boundary-switch-objective,audio_mono-mic,0.6352802812918132,0.5674181596835125,0.5523112425918977,0.6652758333333334,21.859167010381462,666.0,0.0045045045045045045,0.0,681.0030303030303,521.4828787878788,0.2937790909090909,0.49245318181818176,0.6390228787878788,0.7909825757575757,0.5523112425918977,0.0,-94.78954545454545,0.2893886363636364,0.48636999999999997,0.6257583333333333,0.7651536363636363,0.5297097359735974,0.48636999999999997,0.5071155641906692,0.8027118233060492,1268.63,29,a6151512b8c169378f6126e713f9487278de0ab1d0de44d53e0b9e04d21ebdba
lopo-p01,boundary-switch-objective,audio_mono-pickup_mix,0.6571629858549964,0.5950997482585421,0.5841863132403315,0.6708352777777777,22.05609644290742,672.0,0.002976190476190476,0.0,677.9131818181818,477.5377272727273,0.28543090909090907,0.5201421212121212,0.7056357575757576,0.8020325757575758,0.5841863132403315,0.0,-89.10833333333333,0.2863548484848485,0.5181863636363636,0.6954549999999999,0.7848530303030303,0.5588272875816993,0.5181863636363636,0.5377400364892916,0.8131288978215883,1268.63,29,a6151512b8c169378f6126e713f9487278de0ab1d0de44d53e0b9e04d21ebdba
lopo-p01,full-objective-unsmoothed,audio_mono-mic,0.649887177377622,0.5886363676694386,0.5807223879225367,0.6361094444444445,21.235557140715926,647.0,0.00463678516228748,2.0,770.6531818181818,508.0527272727273,0.2917743939393939,0.5018928787878788,0.6821946969696969,0.7958177272727273,0.5807223879225367,0.0,25.657727272727264,0.2909133333333333,0.493939696969697,0.662130606060606,0.7666681818181817,0.5553657580919932,0.493939696969697,0.5228547949237101,0.801691283584853,1291.71,33,cc163e572bfcccf2cb9e04c66c2e27e8c67a9a7538dbebfa3d38239ada046bb0
lopo-p01,full-objective-unsmoothed,audio_mono-pickup_mix,0.6584831921823392,0.5984029760413464,0.5921015211157583,0.6666663888888889,22.38431216378402,682.0,0.001466275659824047,2.0,647.2715151515151,463.8401515151515,0.29978227272727276,0.530819696969697,0.6926477272727273,0.8036080303030303,0.5921015211157583,0.0,-39.87621212121212,0.3015121212121212,0.5287912121212122,0.6848559090909091,0.7909107575757575,0.5610967845659164,0.5287912121212122,0.5444652106084245,0.8070607176922289,1291.71,33,cc163e572bfcccf2cb9e04c66c2e27e8c67a9a7538dbebfa3d38239ada046bb0
